Algeria,Argentina
Algeria,Japan
Algeria,Suriname
Australia,Democratic Republic of Congo
Brazil,Switzerland
Canada,Liberia
Canada,Sao Tome & Principe
Chile,Ecuador
Chile,Japan
Chile,Peru
Colombia,Iceland
Colombia,"Trinidad and Tobago
"
Costa Rica,Burkina Faso
Costa Rica,Haiti
Costa Rica,Suriname
Cuba,Ecuador
Cuba,Ecuador
Czechia,Mozambique
Czechia,Mozambique
Ecuador,Australia
Ecuador,Belgium
Ecuador,Brazil
Ecuador,Guyana
Ecuador,Netherlands
Ecuador,Spain
Ecuador,United Kingdom
Ecuador,Venezuela
Egypt,Canada
Egypt,Ecuador
Egypt,Japan
Egypt,Marshall Islands
Egypt,Netherlands
Egypt,Republic of Korea
Egypt,Switzerland
Finland,Botswana
France,Switzerland
Germany,Norway
Guatemala,Papua New Guinea
Haiti,Japan
Haiti,Switzerland
Honduras,Netherlands
Hungary,Mongolia
Indonesia,Peru
Iran,Bangladesh
Iraq,Guatemala
Iraq,Switzerland
Ireland,Cambodia
Israel,Italy
Kenya,Japan
Kenya,Togo
Kenya,Togo
Kenya,Uganda
Kenya,Uganda
Kenya,Zambia
Maldives,Nigeria
Maldives,Papua New Guinea
Mexico,Cambodia
Mexico,Peru
Mexico,Philippines
Morocco,Zimbabwe
Myanmar,Indonesia
Namibia,South Africa
Namibia,United Kingdom
Netherlands,Australia
Netherlands,Brazil
Netherlands,Bulgaria
Netherlands,Burkina Faso
Netherlands,Ecuador
Netherlands,Estonia
Netherlands,Finland
Netherlands,Honduras
Netherlands,Latvia
Netherlands,Mongolia
Netherlands,Myanmar
Netherlands,Namibia
Netherlands,Peru
Netherlands,Peru
Netherlands,Singapore
Netherlands,Suriname
Netherlands,Tanzania
New Zealand,Angola
Nicaragua,Venezuela
Nigeria,Togo
Norway,Angola
Norway,Angola
Norway,Australia
Norway,Equatorial Guinea
Norway,Guatemala
Norway,Guatemala
Norway,Kenya
Norway,Panama
Norway,Uganda
Palestine,Austria
Palestine,Belgium
Palestine,Czechia
Palestine,Denmark
Palestine,Finland
Palestine,Greece
Palestine,Hungary
Palestine,Iceland
Palestine,Ireland
Palestine,Netherlands
Palestine,Peru
Palestine,Poland
Palestine,Switzerland
Palestine,United Kingdom
Paraguay,Brazil
Peru,Netherlands
Peru,Switzerland
Philippines,Colombia
Philippines,Netherlands
Philippines,South Africa
Philippines,United Kingdom
Poland,Peru
Republic of Korea,Ghana
Republic of Korea,Guatemala
Republic of Korea,Uzbekistan
Senegal,Zambia
Sierra Leone,Brazil
Slovakia,Burkina Faso
Slovakia,Peru
Slovenia,Burkina Faso
Slovenia,Niger
Slovenia,Sierra Leone
South Africa,Netherlands
South Africa,Norway
South Africa,Switzerland
Spain,Belize
Spain,Bolivia
Spain,Bolivia
Spain,Equatorial Guinea
Spain,Nigeria
Sri Lanka,Egypt
Sweden,Bolivia
Sweden,Thailand
Switzerland,Mongolia
Switzerland,Niger
Switzerland,Peru
Switzerland,Solomon Islands
Thailand,Gabon
Thailand,Ghana
Togo,South Africa
Turkey,Peru
Uganda,India
Uganda,Liberia
United Arab Emirates,Egypt
United Kingdom,Equatorial Guinea
United Kingdom,Spain
United States,Cote d'Ivoire
United States,Ghana
United States,Lesotho
United States,Mongolia
United States,Sierra Leone
United States,Zimbabwe
Uruguay,Burkina Faso
Venezuela,Egypt
