name,dem,gni,geo
Algeria,3.5,4060,MENA
Angola,3.62,3370,SSA
Argentina,3.62,12370,LAC
Australia,9.09,53190,AA
Austria,8.29,49260,WE
Bangladesh,5.57,1750,AA
Belgium,7.78,45340,WE
Belize,99999,4720,LAC
Bolivia,5.7,3370,LAC
Botswana,7.81,7750,SSA
Brazil,6.97,9140,LAC
Bulgaria,7.03,8860,EE
Burkina Faso,4.75,660,SSA
Cambodia,3.59,1380,AA
Canada,9.15,44860,NA
Chile,7.97,14670,LAC
Colombia,6.96,6190,LAC
Costa Rica,8.07,11510,LAC
Cote d'Ivoire,4.15,1610,SSA
Cuba,3,7230,LAC
Czechia,7.69,20260,EE
Democratic Republic of Congo,1.49,490,SSA
Denmark,9.22,60190,WE
Ecuador,6.27,6120,LAC
Egypt,3.36,2800,MENA
Equatorial Guinea,1.92,7050,SSA
Estonia,7.97,20940,EE
Finland,9.14,47750,WE
France,7.8,41080,WE
Gabon,3.61,6800,SSA
Germany,8.68,47180,WE
Ghana,6.63,2130,SSA
Greece,7.29,19600,WE
Guatemala,5.6,4410,LAC
Guyana,6.67,4760,LAC
Haiti,4.91,800,LAC
Honduras,5.63,2330,LAC
Hungary,6.63,14590,EE
Iceland,9.58,67950,WE
India,7.23,2020,AA
Indonesia,6.39,3840,AA
Iran,2.45,5470,MENA
Iraq,4.06,5030,MENA
Ireland,9.15,59770,WE
Israel,7.79,40850,MENA
Italy,7.71,33540,WE
Japan,7.99,41340,AA
Kenya,5.11,1620,SSA
Latvia,7.38,16740,EE
Lesotho,6.64,1380,SSA
Liberia,5.35,600,SSA
Maldives,99999,9310,AA
Marshall Islands,99999,4740,AA
Mexico,6.19,9180,LAC
Mongolia,6.5,3580,AA
Morocco,4.99,3090,MENA
Mozambique,3.85,440,SSA
Myanmar,3.83,1310,AA
Namibia,6.25,5250,SSA
Netherlands,8.89,51260,WE
New Zealand,9.26,40820,AA
Nicaragua,3.63,2030,LAC
Niger,3.76,380,SSA
Nigeria,4.44,1960,SSA
Norway,9.87,80790,WE
Palestine,4.39,3710,MENA
Panama,7.05,14370,LAC
Papua New Guinea,6.03,2530,AA
Paraguay,6.24,5680,LAC
Peru,6.6,6530,LAC
Philippines,6.71,3830,AA
Poland,6.67,14150,EE
Republic of Korea,8,30600,AA
Sao Tome & Principe,99999,1890,SSA
Senegal,6.15,1410,SSA
Sierra Leone,4.66,500,SSA
Singapore,6.38,58770,AA
Slovakia,7.1,18330,AA
Slovenia,7.5,24840,EE
Solomon Islands,99999,2000,AA
South Africa,7.24,5720,SSA
Spain,8.08,29450,WE
Sri Lanka,7.83,4060,AA
Suriname,6.98,4990,LAC
Sweden,9.39,55040,WE
Switzerland,9.03,83580,WE
Tanzania,5.41,1020,SSA
Thailand,4.63,6610,AA
Togo,3.1,650,SSA
"Trinidad and Tobago
",7.16,16240,LAC
Turkey,4.37,10380,WE
Uganda,5.2,620,SSA
United Arab Emirates,2.76,41010,MENA
United Kingdom,8.53,41340,WE
United States,7.96,62850,NA
Uruguay,8.38,15650,LAC
Uzbekistan,2.01,2020,EE
Venezuela,3.16,13080,LAC
Zambia,5.61,1430,SSA
Zimbabwe,3.16,1790,SSA
